X,Y,Name,description
-87.31436,36.437066,"36.437066,-87.314360",
-87.312311,36.437053,"36.437053,-87.312311",
-87.310508,36.437553,"36.437553, -87.310508",
-87.311431,36.437173,"36.437173, -87.311431",
-87.31312,36.4371,"36.437100, -87.313120",
-87.310288,36.43779,"36.437790, -87.310288",
-87.314934,36.437272,"36.437272, -87.314934",
-87.315814,36.437134,"36.437134, -87.315814",
